language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,prevalence_setting,task,encoder,exp_id
am,fixed_half,0.5,0.0,1,0.30385015608740895,0.0,0.138268156424581,0.7960893854748603,0.5959183673469388,0.20391061452513967,0.17108938547486033,0.30385015608740895,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.3662577744616291,0.500,toxicity,encoder_minilm,EXP-003
am,source_global,0.4656289870509488,0.0,1,0.3128834355828221,0.0,0.15223463687150837,0.7863128491620112,0.583969465648855,0.21368715083798884,0.1829608938547486,0.3128834355828221,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,0.27272007295766537,0.3501506396149532,0.6701079305490381,0.35722449496621594,0.500,toxicity,encoder_minilm,EXP-003
am,quantile_match,0.22454755746480717,0.0,1,0.5164113785557987,0.0,0.420391061452514,0.505586592178771,0.5404580152671755,0.49441340782122906,0.4574022346368715,0.5164113785557987,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.1536965519932394,0.500,toxicity,encoder_minilm,EXP-003
am,sld_em,0.9914035631812794,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.6701079305490381,0.500,toxicity,encoder_minilm,EXP-003
am,bbse,0.8406589375383333,0.0,1,0.08083441981747067,0.0,0.027932960893854747,0.9567039106145251,0.6078431372549019,0.04329608938547486,0.0356145251396648,0.08083441981747067,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.5892735107315674,0.500,toxicity,encoder_minilm,EXP-003
am,few_label_8_strat,0.16789513219151977,0.05160661869215092,25,0.6013570268772233,0.0648626691147303,0.631899441340782,0.2824581005586592,0.5345714511645095,0.7175418994413408,0.6747206703910615,0.6013570268772233,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.0687509036718148,0.500,toxicity,encoder_minilm,EXP-003
am,few_label_8_rand,0.1766437817657448,0.14572047658105033,25,0.5993346774564376,0.12033134780667906,0.6733519553072627,0.25033519553072625,0.5328761124804425,0.7496648044692737,0.7115083798882683,0.5993346774564376,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.07077325309260041,0.500,toxicity,encoder_minilm,EXP-003
am,few_label_16_strat,0.1537082818465829,0.06825980757387418,25,0.6059038741690588,0.0767543749992165,0.6826815642458102,0.24608938547486034,0.5280894164021586,0.7539106145251396,0.7182960893854748,0.6059038741690588,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.06420405637997928,0.500,toxicity,encoder_minilm,EXP-003
am,few_label_16_rand,0.13267415144741493,0.0554418096117181,25,0.6292404283096201,0.04796827439065244,0.736703910614525,0.19128491620111732,0.5261194501285726,0.8087150837988827,0.772709497206704,0.6292404283096201,False,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.04086750223941793,0.500,toxicity,encoder_minilm,EXP-003
am,few_label_32_strat,0.10737048236494257,0.04440088634557022,25,0.6532919934841921,0.020440254749826445,0.8231284916201116,0.11245810055865922,0.5201923580553797,0.8875418994413409,0.8553351955307262,0.6532919934841921,True,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.016815937064845965,0.500,toxicity,encoder_minilm,EXP-003
am,few_label_32_rand,0.11718702403217325,0.05118790503559817,25,0.6423166552853242,0.03684698917336358,0.7893854748603353,0.14547486033519555,0.5221538893147795,0.8545251396648045,0.8219553072625699,0.6423166552853242,True,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.027791275263713833,0.500,toxicity,encoder_minilm,EXP-003
am,few_label_64_strat,0.11285605044197135,0.05185376607574399,25,0.6456163792444187,0.031028367573838804,0.7986033519553074,0.13659217877094973,0.5215475349910347,0.8634078212290504,0.8310055865921788,0.6456163792444187,True,False,0.5692374613776099,0.5,0.5,978,1432,0.4656289870509488,en,f1,,,0.6701079305490381,0.02449155130461933,0.500,toxicity,encoder_minilm,EXP-003
