language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,prevalence_setting,task,encoder,exp_id
am,fixed_half,0.5,0.0,1,0.35150375939849626,0.0,0.20535714285714285,0.7388268156424581,0.5373563218390804,0.2611731843575419,0.232,0.2611731843575419,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,-0.19991451734470653,native,toxicity,encoder_minilm,EXP-005-ru
am,source_global,0.6839559996917799,0.0,1,0.26264800861141013,0.0,0.11607142857142858,0.8296089385474861,0.5727699530516432,0.17039106145251395,0.142,0.17039106145251395,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,0.22209142999501744,0.2975781597799461,0.15158924205378974,-0.1110587665576204,native,toxicity,encoder_minilm,EXP-005-ru
am,quantile_match,0.26308303647267894,0.0,1,0.4556765163297045,0.0,0.35331632653061223,0.590782122905028,0.5140350877192983,0.4092178770949721,0.38,0.4092178770949721,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,-0.30408727427591475,native,toxicity,encoder_minilm,EXP-005-ru
am,sld_em,0.9596800265289253,0.0,1,0.058588548601864174,0.0,0.016581632653061226,0.9692737430167597,0.6285714285714286,0.030726256983240222,0.023333333333333334,0.030726256983240222,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,0.09300069345192556,native,toxicity,encoder_minilm,EXP-005-ru
am,bbse,0.9313915048607947,0.0,1,0.10309278350515463,0.0,0.025510204081632654,0.9441340782122905,0.6666666666666666,0.055865921787709494,0.04,0.055865921787709494,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,0.0484964585486351,native,toxicity,encoder_minilm,EXP-005-ru
am,few_label_8_strat,0.7310933430101819,0.1692543059162695,25,0.22144837343075768,0.10177908138952203,0.1035204081632653,0.852122905027933,0.5803803273214576,0.14787709497206702,0.12469333333333334,0.14787709497206702,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,-0.06985913137696795,native,toxicity,encoder_minilm,EXP-005-ru
am,few_label_8_rand,0.7060065138455155,0.20675739778490604,25,0.23405633372633555,0.11198409158184182,0.11923469387755102,0.8362569832402236,0.5876858134990568,0.16374301675977654,0.14048,0.16374301675977654,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,-0.08246709167254582,native,toxicity,encoder_minilm,EXP-005-ru
am,few_label_16_strat,0.7952820713721845,0.17132893439001645,25,0.17608389889226234,0.10994468760554517,0.07846938775510204,0.8853631284916201,0.5737565164461534,0.1146368715083799,0.09573333333333332,0.1146368715083799,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,-0.0244946568384726,native,toxicity,encoder_minilm,EXP-005-ru
am,few_label_16_rand,0.826874293781062,0.10779872166724072,25,0.16466592268496108,0.07549554272285489,0.06290816326530611,0.9001117318435754,0.5939181578536175,0.09988826815642458,0.08055999999999999,0.09988826815642458,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,-0.013076680631171345,native,toxicity,encoder_minilm,EXP-005-ru
am,few_label_32_strat,0.9094983657397785,0.06919525892430187,25,0.10490402233745211,0.060504790269611086,0.03244897959183673,0.9406703910614524,0.5972720271466404,0.05932960893854748,0.045279999999999994,0.05932960893854748,False,False,0.533872277961464,0.47733333333333333,0.511,1000,1500,0.6839559996917799,ru,target_fpr,,,0.15158924205378974,0.04668521971633763,native,toxicity,encoder_minilm,EXP-005-ru
