n_neg,expected_fp,n_languages_used,n_estimates,violation_rate,median_realised_fpr,median_over_budget_multiple
8,0.4,174,4350,0.5294252873563219,0.05439330543933055,1.0878661087866108
16,0.8,174,4350,0.3220689655172414,0.029045643153526972,0.5809128630705394
24,1.2000000000000002,174,4350,0.48942528735632185,0.049586776859504134,0.9917355371900827
32,1.6,174,4350,0.37448275862068964,0.0375,0.7499999999999999
48,2.4000000000000004,174,4350,0.4167816091954023,0.04201680672268908,0.8403361344537815
64,3.2,174,4350,0.4181609195402299,0.04329004329004329,0.8658008658008657
96,4.800000000000001,174,4350,0.3096551724137931,0.03734439834024896,0.7468879668049792
128,6.4,174,4350,0.3618390804597701,0.04184100418410042,0.8368200836820083
