language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,prevalence_setting,fpr_budget,task,encoder,exp_id
am,fixed_half,0.5,0.0,1,0.2994871794871795,0.0,0.1441326530612245,0.7960893854748603,0.5637065637065637,0.20391061452513967,0.17266666666666666,0.20391061452513967,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.27482964524060416,native,0.01,toxicity,encoder_minilm,EXP-007
am,source_global,0.8406066731032429,0.0,1,0.08072916666666666,0.0,0.026785714285714284,0.9567039106145251,0.5961538461538461,0.04329608938547486,0.034666666666666665,0.04329608938547486,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,0.05482565024468889,0.10818774749592361,0.024657534246575342,-0.05607163242009132,native,0.01,toxicity,encoder_minilm,EXP-007
am,pooled_global,0.9692097569932547,0.0,1,0.008321775312066574,0.0,0.002551020408163265,0.9958100558659218,0.6,0.004189944134078212,0.0033333333333333335,0.004189944134078212,True,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,0.016335758934508768,native,0.01,toxicity,encoder_minilm,EXP-007
am,worstcase_global,0.9896382107439661,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,0.024657534246575342,native,0.01,toxicity,encoder_minilm,EXP-007
am,quantile_match,0.2796587658526835,0.0,1,0.44230769230769235,0.0,0.32653061224489793,0.6145251396648045,0.518796992481203,0.3854748603351955,0.3546666666666667,0.3854748603351955,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.417650158061117,native,0.01,toxicity,encoder_minilm,EXP-007
am,sld_em,0.9986002703422704,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,0.024657534246575342,native,0.01,toxicity,encoder_minilm,EXP-007
am,bbse,0.9908346896214006,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,0.024657534246575342,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_8_strat,0.6395129548993372,0.22920353907738086,25,0.20397405995612267,0.14144015591161727,0.11270408163265305,0.8543016759776535,0.5549900142997051,0.14569832402234634,0.12845333333333334,0.14569832402234634,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.17931652570954731,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_8_rand,0.5824705185647081,0.22078912313350266,25,0.2436671996326161,0.14317809456211278,0.1444387755102041,0.8174301675977653,0.5540587737269078,0.18256983240223462,0.16264,0.18256983240223462,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.21900966538604075,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_16_strat,0.7105713518013093,0.173202977665639,25,0.16059829118463273,0.10765120770680893,0.07673469387755101,0.8958659217877095,0.5733284361856078,0.10413407821229051,0.08981333333333336,0.10413407821229051,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.13594075693805738,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_16_rand,0.7309341088728477,0.19512728983161723,25,0.14876498296466698,0.12498205541325169,0.07500000000000001,0.8991061452513966,0.576080159702441,0.10089385474860336,0.08736000000000001,0.10089385474860336,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.12410744871809164,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_32_strat,0.8230862543790317,0.11552451104850384,25,0.08904262717512507,0.0706610922282116,0.036479591836734694,0.9484357541899441,0.5824270449118845,0.051564245810055864,0.043680000000000004,0.051564245810055864,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.06438509292854973,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_32_rand,0.7979732594332379,0.11748058253469124,25,0.10463950483959301,0.07204763494689805,0.0425,0.9388826815642457,0.5796536060645213,0.061117318435754193,0.05138666666666667,0.061117318435754193,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.07998197059301768,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_64_strat,0.8930074005385934,0.05323812303054319,25,0.04739191465481962,0.02905614999980468,0.015612244897959182,0.9749162011173184,0.5821170410195978,0.025083798882681564,0.020133333333333333,0.025083798882681564,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.02273438040824428,native,0.01,toxicity,encoder_minilm,EXP-007
am,few_label_64_rand,0.8640714836846881,0.07620056686572961,25,0.06613604065127907,0.04436344578440616,0.022653061224489797,0.963854748603352,0.6007810447283372,0.036145251396648044,0.029093333333333336,0.036145251396648044,False,False,0.5661572939231558,0.47733333333333333,0.511,1000,1500,0.8406066731032429,en,target_fpr,,,0.024657534246575342,-0.04147850640470373,native,0.01,toxicity,encoder_minilm,EXP-007
