language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,model,arm
am,fixed_half,0.5,0.0,1,0.11233211233211234,0.0,0.07270408163265306,0.9357541899441341,0.44660194174757284,0.06424581005586592,0.06866666666666667,0.06424581005586592,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.013322211342013335,clf_unitary_xlmr,A
am,source_global,0.36111076921224594,0.0,1,0.4610639938319198,0.0,0.3596938775510204,0.5824022346368715,0.5146299483648882,0.4175977653631285,0.3873333333333333,0.4175977653631285,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,0.42806349741041727,0.4940169106149793,0.099009900990099,-0.36205409284182083,clf_unitary_xlmr,A
am,pooled_global,0.5271534620224683,0.0,1,0.06923076923076923,0.0,0.047193877551020405,0.9622905027932961,0.421875,0.03770949720670391,0.042666666666666665,0.03770949720670391,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,0.029779131759329766,clf_unitary_xlmr,A
am,worstcase_global,0.8913142383098602,0.0,1,0.0,0.0,0.0012755102040816326,1.0,0.0,0.0,0.0006666666666666666,0.0,True,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,0.099009900990099,clf_unitary_xlmr,A
am,quantile_match,0.32300935697555544,0.0,1,0.5276653171390013,0.0,0.47831632653061223,0.45391061452513964,0.5104438642297651,0.5460893854748603,0.5106666666666667,0.5460893854748603,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.42865541614890235,clf_unitary_xlmr,A
am,sld_em,0.9999978475266815,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,0.099009900990099,clf_unitary_xlmr,A
am,bbse,0.48464662123192936,0.0,1,0.14840989399293286,0.0,0.08928571428571429,0.9120111731843575,0.47368421052631576,0.08798882681564246,0.08866666666666667,0.08798882681564246,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.04939999300283386,clf_unitary_xlmr,A
am,few_label_8_strat,0.45330287516117096,0.09137075996632175,25,0.2424533088430726,0.19695781982763608,0.1907142857142857,0.7869832402234637,0.47472833964865957,0.2130167597765363,0.20136000000000004,0.2130167597765363,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.1434434078529736,clf_unitary_xlmr,A
am,few_label_8_rand,0.4544014559686185,0.11027232031116391,25,0.22414360006860334,0.1939362705625313,0.1796428571428571,0.7993854748603352,0.4718446299573519,0.2006145251396648,0.18965333333333334,0.2006145251396648,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.12513369907850436,clf_unitary_xlmr,A
am,few_label_16_strat,0.48144912779331206,0.04861667489418223,25,0.17001674416913118,0.11121088126590531,0.1108673469387755,0.8850279329608938,0.46057725951930095,0.11497206703910616,0.11282666666666666,0.11497206703910616,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.07100684317903218,clf_unitary_xlmr,A
am,few_label_16_rand,0.4974661904573441,0.06665763890016685,25,0.15366838912874436,0.10743321127521427,0.09862244897959185,0.8980446927374303,0.46901702226211084,0.10195530726256984,0.10021333333333335,0.10195530726256984,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.054658488138645364,clf_unitary_xlmr,A
am,few_label_32_strat,0.5124519515037537,0.05673759399486975,25,0.12122881181319195,0.1101577595225788,0.07755102040816327,0.9203351955307262,0.4581941473943845,0.07966480446927375,0.07856,0.07966480446927375,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.02221891082309295,clf_unitary_xlmr,A
am,few_label_32_rand,0.5024615252017974,0.07288164199980765,25,0.14915186403266195,0.12021304702228865,0.09709183673469388,0.8988268156424581,0.4651316372898263,0.1011731843575419,0.09904,0.1011731843575419,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.05014196304256295,clf_unitary_xlmr,A
am,few_label_64_strat,0.5123632010817528,0.03665203642410374,25,0.10539234140819395,0.06796152541972982,0.06693877551020408,0.9370949720670392,0.4443660963967323,0.06290502793296089,0.06501333333333333,0.06290502793296089,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.006382440418094951,clf_unitary_xlmr,A
am,few_label_64_rand,0.5079321822524071,0.04883905680043963,25,0.1233097191791987,0.08963844297573988,0.0771938775510204,0.9228491620111733,0.4551915205061748,0.07715083798882681,0.07717333333333333,0.07715083798882681,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.024299818189099695,clf_unitary_xlmr,A
am,few_label_128_strat,0.5046512159705162,0.02329777549347397,25,0.11061151663648591,0.043944941483954794,0.07056122448979592,0.9356424581005587,0.4446510780905172,0.06435754189944135,0.0676,0.06435754189944135,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,-0.011601615646386912,clf_unitary_xlmr,A
am,few_label_128_rand,0.5158840465545654,0.025960678692118887,25,0.09183674672955203,0.04241831543378087,0.06020408163265306,0.9474860335195531,0.43486026014201934,0.05251396648044692,0.05653333333333333,0.05251396648044692,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,0.007173154260546974,clf_unitary_xlmr,A
am,few_label_256_strat,0.5113392543792724,0.014778251817226628,25,0.09361058241651919,0.028270756664047762,0.06255102040816327,0.9470391061452514,0.42989425262522646,0.0529608938547486,0.057973333333333335,0.0529608938547486,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,0.005399318573579809,clf_unitary_xlmr,A
am,few_label_256_rand,0.5099742233753204,0.018036203844892917,25,0.09709057800750472,0.03353001195857682,0.06448979591836734,0.9446368715083798,0.43237796684434615,0.05536312849162012,0.06013333333333333,0.05536312849162012,False,False,0.5628696485577471,0.47733333333333333,0.511,1000,1500,0.36111076921224594,en,target_fpr,,,0.099009900990099,0.0019193229825942848,clf_unitary_xlmr,A
