language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,model,arm
am,fixed_half,0.5,0.0,1,0.008310249307479223,0.0,0.003826530612244898,0.9958100558659218,0.5,0.004189944134078212,0.004,0.004189944134078212,True,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.07460432355684238,clf_citizenlab_distilbert,A
am,source_global,0.6391233205795288,0.0,1,0.0027816411682892906,0.0,0.002551020408163265,0.9986033519553073,0.3333333333333333,0.0013966480446927375,0.002,0.0013966480446927375,True,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,0.0,0.008405275144324981,0.0829145728643216,0.08013293169603232,clf_citizenlab_distilbert,A
am,pooled_global,0.5734529265646576,0.0,1,0.0027816411682892906,0.0,0.002551020408163265,0.9986033519553073,0.3333333333333333,0.0013966480446927375,0.002,0.0013966480446927375,True,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.08013293169603232,clf_citizenlab_distilbert,A
am,worstcase_global,0.8775589317083359,0.0,1,0.002785515320334262,0.0,0.0012755102040816326,0.9986033519553073,0.5,0.0013966480446927375,0.0013333333333333333,0.0013966480446927375,True,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.08012905754398734,clf_citizenlab_distilbert,A
am,quantile_match,0.35089799761772156,0.0,1,0.468944099378882,0.0,0.34438775510204084,0.5782122905027933,0.527972027972028,0.42178770949720673,0.38133333333333336,0.42178770949720673,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.38602952651456035,clf_citizenlab_distilbert,A
am,sld_em,0.9999989660485397,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.0829145728643216,clf_citizenlab_distilbert,A
am,bbse,0.6391233205795287,0.0,1,0.0027816411682892906,0.0,0.002551020408163265,0.9986033519553073,0.3333333333333333,0.0013966480446927375,0.002,0.0013966480446927375,True,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.08013293169603232,clf_citizenlab_distilbert,A
am,few_label_8_strat,0.35885143727064134,0.025065272735973768,25,0.2618998469665347,0.16740676433060328,0.18918367346938772,0.7850837988826816,0.4870648149165907,0.21491620111731843,0.20146666666666666,0.21491620111731843,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.17898527410221307,clf_citizenlab_distilbert,A
am,few_label_8_rand,0.37284915208816527,0.09048354936336496,25,0.1970539713912529,0.18319918435097723,0.15469387755102038,0.8297206703910613,0.4892898485649036,0.17027932960893855,0.16213333333333332,0.17027932960893855,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.11413939852693131,clf_citizenlab_distilbert,A
am,few_label_16_strat,0.38498819530010225,0.08296330092816503,25,0.20556673795565195,0.14350948571612954,0.13403061224489796,0.8494413407821229,0.49100010017659884,0.1505586592178771,0.14192,0.1505586592178771,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.12265216509133034,clf_citizenlab_distilbert,A
am,few_label_16_rand,0.39282958686351777,0.07519408508986815,25,0.13760779924436298,0.0985109344059311,0.07872448979591837,0.9125698324022344,0.4899293734530423,0.08743016759776538,0.08288000000000001,0.08743016759776538,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.05469322638004137,clf_citizenlab_distilbert,A
am,few_label_32_strat,0.41924535870552065,0.11425998265394527,25,0.10716193711305114,0.09571385136880937,0.0686734693877551,0.9319553072625698,0.4839653048098691,0.06804469273743016,0.06837333333333333,0.06804469273743016,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.02424736424872953,clf_citizenlab_distilbert,A
am,few_label_32_rand,0.43023956805467606,0.1298237845294225,25,0.10751599765935244,0.10802083112793828,0.06678571428571428,0.9301675977653631,0.47637293323568847,0.06983240223463687,0.06824,0.06983240223463687,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.02460142479503083,clf_citizenlab_distilbert,A
am,few_label_64_strat,0.39363195896148684,0.06552678257635085,25,0.10676572773315464,0.08103733284647255,0.06326530612244899,0.9352513966480446,0.4715978527769582,0.06474860335195531,0.06397333333333334,0.06474860335195531,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.023851154868833033,clf_citizenlab_distilbert,A
am,few_label_64_rand,0.38972782135009765,0.03886762318196926,25,0.07799396743543177,0.05493824105940003,0.04836734693877551,0.9552513966480446,0.4646760439231082,0.04474860335195532,0.04664000000000001,0.04474860335195532,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.004920605428889835,clf_citizenlab_distilbert,A
am,few_label_128_strat,0.3745090302824974,0.00521342287629724,25,0.09430382292437123,0.04219908331728841,0.059846938775510214,0.945977653631285,0.45872176650861135,0.054022346368715085,0.05706666666666666,0.054022346368715085,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.011389250060049622,clf_citizenlab_distilbert,A
am,few_label_128_rand,0.3751458740234375,0.0069749919163592,25,0.10061537572977937,0.060288566222440075,0.05943877551020409,0.941173184357542,0.47191911861613967,0.058826815642458105,0.05914666666666666,0.058826815642458105,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.017700802865457763,clf_citizenlab_distilbert,A
am,few_label_256_strat,0.37483971983194353,0.002849110459269031,25,0.08365879229242563,0.01647549536539009,0.055153061224489805,0.953463687150838,0.44374993064822066,0.046536312849162015,0.05104,0.046536312849162015,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,-0.0007442194281040287,clf_citizenlab_distilbert,A
am,few_label_256_rand,0.37649673998355865,0.003941699251984168,25,0.07546704846333159,0.01663402184030886,0.04525510204081633,0.9586033519553072,0.4673818909756557,0.041396648044692744,0.04341333333333333,0.041396648044692744,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.007447524400990016,clf_citizenlab_distilbert,A
am,target_full,0.3745347708463669,0.0,1,0.0829145728643216,0.0,0.05994897959183673,0.9539106145251397,0.4125,0.046089385474860335,0.05333333333333334,0.046089385474860335,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,0.05699277219149274,0.1101436301858299,0.0829145728643216,0.0,clf_citizenlab_distilbert,A
am,test_oracle_unachievable,0.37496110796928406,0.0,1,0.08152866242038218,0.0,0.047193877551020405,0.9553072625698324,0.463768115942029,0.0446927374301676,0.046,0.0446927374301676,False,False,0.5649940143655228,0.47733333333333333,0.511,1000,1500,0.6391233205795288,en,target_fpr,,,0.0829145728643216,0.001385910443939431,clf_citizenlab_distilbert,A
ar,fixed_half,0.5,0.0,1,0.19112627986348124,0.0,0.05748663101604278,0.8882978723404256,0.6614173228346457,0.11170212765957446,0.08466666666666667,0.11170212765957446,False,False,0.5643044572761406,0.5013333333333333,0.503,1000,1500,0.6391233205795288,en,target_fpr,,,0.13126491646778043,-0.059861363395700806,clf_citizenlab_distilbert,A
ar,source_global,0.6391233205795288,0.0,1,0.09405940594059406,0.0,0.02406417112299465,0.949468085106383,0.6785714285714286,0.05053191489361702,0.037333333333333336,0.05053191489361702,False,False,0.5643044572761406,0.5013333333333333,0.503,1000,1500,0.6391233205795288,en,target_fpr,0.07061790668348046,0.12114095466108031,0.13126491646778043,0.037205510527186375,clf_citizenlab_distilbert,A
ar,pooled_global,0.5516348031385347,0.0,1,0.15240328253223917,0.0,0.0481283422459893,0.913563829787234,0.6435643564356436,0.08643617021276596,0.06733333333333333,0.08643617021276596,False,False,0.5643044572761406,0.5013333333333333,0.503,1000,1500,0.6391233205795288,en,target_fpr,,,0.13126491646778043,-0.021138366064458736,clf_citizenlab_distilbert,A
ar,worstcase_global,0.8775589317083359,0.0,1,0.010582010582010583,0.0,0.0,0.9946808510638298,1.0,0.005319148936170213,0.0026666666666666666,0.005319148936170213,True,False,0.5643044572761406,0.5013333333333333,0.503,1000,1500,0.6391233205795288,en,target_fpr,,,0.13126491646778043,0.12068290588576985,clf_citizenlab_distilbert,A
ar,quantile_match,0.2029883785545826,0.0,1,0.4426494345718902,0.0,0.28342245989304815,0.6356382978723404,0.5637860082304527,0.36436170212765956,0.324,0.36436170212765956,False,False,0.5643044572761406,0.5013333333333333,0.503,1000,1500,0.6391233205795288,en,target_fpr,,,0.13126491646778043,-0.3113845181041098,clf_citizenlab_distilbert,A
