language,strategy,threshold,threshold_sd,n_draws,f1,f1_sd,fpr,fnr,precision,recall,predicted_positive_rate,objective_value,is_degenerate,is_source,test_auroc,test_prevalence,dev_prevalence,n_dev,n_test,tau_source,source_language,objective,f1_ci_low,f1_ci_high,f1_target_full,f1_gap_to_full,prevalence_setting,task,encoder,exp_id
am,fixed_half,0.5,0.0,1,0.6207302709069493,0.0,0.5803571428571429,0.2639664804469274,0.5366598778004074,0.7360335195530726,0.6546666666666666,0.7360335195530726,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.3946230447997232,native,toxicity,encoder_minilm,EXP-005-de
am,source_global,0.8590346218212428,0.0,1,0.48800661703887505,0.0,0.25255102040816324,0.5879888268156425,0.5983772819472617,0.41201117318435754,0.32866666666666666,0.41201117318435754,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,0.4557320118620259,0.5221600829332169,0.2261072261072261,-0.26189939093164893,native,toxicity,encoder_minilm,EXP-005-de
am,quantile_match,0.8400412458524344,0.0,1,0.5107741420590584,0.0,0.2767857142857143,0.553072625698324,0.595903165735568,0.44692737430167595,0.358,0.44692737430167595,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.28466691595183224,native,toxicity,encoder_minilm,EXP-005-de
am,sld_em,0.7170763275835126,0.0,1,0.5776566757493188,0.0,0.41836734693877553,0.40782122905027934,0.5638297872340425,0.5921787709497207,0.5013333333333333,0.5921787709497207,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.35154944964209267,native,toxicity,encoder_minilm,EXP-005-de
am,bbse,0.8748464286130297,0.0,1,0.4688832054560955,0.0,0.23214285714285715,0.6159217877094972,0.6017505470459519,0.3840782122905028,0.30466666666666664,0.3840782122905028,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.2427759793488694,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_8_strat,0.909750890366039,0.14654608812622485,25,0.29701415719103375,0.15218702399730327,0.13377551020408165,0.7709497206703909,0.6652080438596549,0.22905027932960895,0.17925333333333332,0.22905027932960895,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.07090693108380763,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_8_rand,0.8524088269765895,0.1828358790842053,25,0.3412242992957513,0.2138816024934857,0.20556122448979594,0.6899441340782123,0.6656667453369917,0.3100558659217877,0.25543999999999994,0.3100558659217877,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.11511707318852521,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_16_strat,0.9487208017073553,0.04520130140306071,25,0.24982828852596506,0.15516129361935155,0.09270408163265306,0.8233519553072626,0.674751511755088,0.1766480446927374,0.1327733333333333,0.1766480446927374,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.023721062418738947,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_16_rand,0.9423209417777397,0.06196757444501126,25,0.25250940160963353,0.1651798377396814,0.10091836734693878,0.8153631284916202,0.6893834173599663,0.1846368715083799,0.14088,0.1846368715083799,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.02640217550240742,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_32_strat,0.9683062400354312,0.036999248249272726,25,0.17802943046392009,0.13387015258642376,0.0561734693877551,0.8835195530726255,0.723404053112863,0.1164804469273743,0.08495999999999998,0.1164804469273743,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,0.048077795643306026,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_32_rand,0.9558971348135672,0.040534305879295296,25,0.234847832649202,0.1291906648297462,0.07933673469387756,0.8417877094972067,0.6779051903051598,0.1582122905027933,0.11698666666666668,0.1582122905027933,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,-0.008740606541975893,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_64_strat,0.9687029662874227,0.01901540784472619,25,0.1997447864260976,0.09390860478187875,0.05566326530612245,0.876927374301676,0.6987817095484978,0.12307262569832403,0.08784,0.12307262569832403,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,0.026362439681128502,native,toxicity,encoder_minilm,EXP-005-de
am,few_label_64_rand,0.9648476832148877,0.01937582705224405,25,0.219406767754362,0.09189708001514349,0.06311224489795919,0.862905027932961,0.6896754189359187,0.1370949720670391,0.09842666666666666,0.1370949720670391,False,False,0.6243070202941512,0.47733333333333333,0.511,1000,1500,0.8590346218212428,de,target_fpr,,,0.2261072261072261,0.006700458352864119,native,toxicity,encoder_minilm,EXP-005-de
